od,do,odleglosc,czas_rano,czas_poludnie,czas_wieczor
0,29,8.23,8,6,6
0,38,11.33,26,19,22
0,65,6.18,11,5,8
0,76,11.53,26,21,20
0,86,7.17,18,10,10
0,88,4.48,13,5,8
0,118,10.62,19,13,12
0,124,9.93,18,13,19
0,134,10.65,19,11,15
0,188,10.84,38,19,28
0,200,1.75,3,2,4
0,224,4.73,7,6,8
0,228,11.19,10,9,12
0,265,9.83,26,14,20
0,284,5.15,17,7,12
0,287,8.46,17,8,10
0,325,3.72,4,2,4
0,370,11.54,36,19,28
0,379,8.16,15,9,14
0,438,10.8,18,11,15
0,441,7.41,6,5,7
0,455,7.89,13,8,8
0,462,7.41,19,9,14
0,475,10.03,20,11,19
0,476,7.94,18,10,14
0,497,8.54,10,9,13
0,513,9.31,16,7,13
0,519,9.19,23,13,17
0,525,6.6,8,4,6
0,545,11.04,32,19,28
0,599,8.37,10,7,11
0,632,10.12,20,14,22
0,636,10.7,22,9,12
0,652,7.92,12,5,8
0,686,8.37,22,10,13
0,695,11.42,14,10,9
0,699,11.04,11,9,12
0,726,8.93,10,7,9
0,768,3.15,6,3,6
0,770,11.09,30,14,19
0,773,7.66,7,5,5
0,804,11.84,42,18,31
0,822,10.47,19,9,13
0,824,4.7,9,5,7
0,827,8.48,8,7,9
0,828,9.24,13,6,8
0,834,6.4,15,6,12
0,890,2.45,2,1,2
0,913,7.25,12,6,10
0,922,9.09,19,13,15
0,960,10.69,15,7,10
0,981,9.11,13,8,10
0,989,7.68,14,10,14
1,19,10.27,19,16,17
1,34,3.76,9,5,9
1,46,1.96,5,3,4
1,52,2.43,2,2,1
1,115,10.11,21,13,20
1,121,6.82,17,9,14
1,141,8.9,23,13,25
1,149,7.21,9,5,7
1,182,6.84,15,11,11
1,195,5.91,16,8,11
1,213,4.47,9,5,8
1,259,10.38,19,11,15
1,280,8.37,22,13,13
1,290,5.07,6,2,4
1,344,7.87,27,11,16
1,348,0.78,2,1,1
1,368,3.98,6,3,4
1,493,10.5,18,8,10
1,549,6.9,22,11,12
1,552,6.89,18,13,17
1,567,11.08,14,9,7
1,577,3.09,4,2,4
1,582,11.38,24,16,26
1,635,9.27,25,13,17
1,713,8.93,17,10,10
1,721,11.11,17,7,13
1,724,6.42,9,9,11
1,735,10.19,28,19,27
1,739,4.9,10,5,6
1,795,5.86,17,12,11
1,823,10.77,16,8,10
1,859,7.72,19,13,17
1,865,11.97,21,15,21
1,870,7.67,11,6,6
1,880,4.71,4,3,5
1,946,10.61,9,7,7
1,949,10.6,26,13,19
1,965,4.29,7,5,9
1,993,10.09,22,14,13
1,999,11.38,22,9,13
2,4,8.7,12,7,12
2,8,6.48,19,10,10
2,13,6.81,13,6,11
2,55,11.15,15,8,12
2,67,9.54,23,13,20
2,85,10.04,22,18,26
2,105,11.13,31,20,19
2,107,9.41,27,18,23
2,155,11.37,29,22,23
2,167,11.8,23,12,19
2,177,8.9,21,12,19
2,191,5.36,5,4,4
2,231,3.39,7,6,7
2,235,4.48,15,6,8
2,236,10.23,20,8,11
2,300,8.23,11,7,12
2,304,10.74,16,9,15
2,308,9.68,18,11,18
2,352,9.33,11,6,9
2,358,5.78,13,9,15
2,359,5.17,14,10,12
2,440,3.61,6,3,4
2,473,11.92,30,15,25
2,481,4.68,5,2,3
2,484,2.11,2,2,2
2,528,7.63,8,5,8
2,605,5.82,8,7,10
2,619,9.14,29,14,19
2,637,8.98,18,9,12
2,640,11.86,20,11,15
2,660,7.64,15,8,9
2,663,6.42,13,10,10
2,664,9.41,17,8,16
2,678,11.95,37,19,29
2,752,7.63,6,5,6
2,754,7.79,22,11,16
2,775,4.21,7,3,6
2,784,4.83,9,4,6
2,796,9.78,17,12,11
2,802,6.17,13,9,11
2,817,3.27,3,2,2
2,869,8.89,21,12,20
2,917,4.34,14,8,9
2,918,9.8,12,6,12
2,961,4.9,7,3,4
3,82,5.91,5,4,3
3,127,9.65,22,9,12
3,130,6.57,18,12,12
3,156,3.53,5,4,6
3,162,2.84,4,4,3
3,263,11.22,31,22,27
3,337,6.14,13,8,10
3,401,9.95,20,14,13
3,418,2.38,3,1,2
3,488,5.83,11,8,10
3,515,10.62,17,13,19
3,684,7.5,25,14,13
3,723,7.53,18,10,13
3,847,6.34,19,8,12
3,950,11.22,18,13,18
4,13,7.35,10,6,7
4,47,11.4,17,16,21
4,55,5.79,12,7,9
4,67,1.22,1,1,1
4,89,6.98,17,13,17
4,105,5.46,8,7,7
4,155,4.45,3,2,4
4,157,5.95,16,9,15
4,167,3.38,8,7,6
4,191,3.45,9,5,6
4,227,11.1,14,10,9
4,231,11.96,33,20,21
4,235,6.47,16,11,15
4,300,3.58,10,5,7
4,304,8.47,20,12,19
4,308,1.28,3,1,2
4,326,11.69,26,19,29
4,327,11.55,14,9,10
4,358,11.25,19,9,13
4,359,9.96,16,10,13
4,370,8.44,17,14,16
4,379,11.64,27,13,20
4,440,7.85,13,9,16
4,475,10.45,12,7,11
4,481,8.7,15,7,9
4,484,9.05,20,17,19
4,497,10.69,20,12,11
4,528,3.64,3,2,3
4,565,5.39,7,4,4
4,605,9.73,22,11,19
4,612,8.83,21,12,15
4,619,3.93,6,5,5
4,637,9.6,12,7,12
4,660,3.34,8,5,9
4,664,1.75,3,1,2
4,695,7.83,15,9,10
4,752,11.67,17,11,11
4,754,6.61,12,8,8
4,767,11.59,36,18,28
4,802,8.65,17,11,13
4,804,10.57,22,15,17
4,817,11.61,20,14,16
4,835,10.21,21,11,19
4,851,10.52,29,14,14
4,898,7.72,9,7,7
4,917,7.28,8,4,7
4,918,7.22,8,4,6
4,922,10.28,22,14,16
4,981,10.13,18,11,11
5,65,9.67,15,10,14
5,88,9.19,12,6,9
5,94,11.92,17,10,17
5,96,11.72,29,14,15
5,118,4.55,5,3,5
5,134,9.68,16,10,15
5,143,8.18,20,16,17
5,181,4.23,14,6,10
5,233,4.94,4,3,4
5,284,8.83,15,8,11
5,286,5.98,10,5,8
5,294,11.91,26,16,14
5,325,10.7,19,9,11
5,350,9.07,7,5,8
5,365,9.94,15,10,17
5,395,9.37,19,12,15
5,429,2.19,5,4,3
5,438,10.59,24,17,25
5,443,10.61,24,15,18
5,454,4.31,6,5,7
5,455,7.75,26,12,16
5,476,11.0,13,8,11
5,496,7.51,20,15,15
5,525,6.75,9,5,8
5,529,9.93,29,18,18
5,578,7.28,10,4,5
5,588,9.3,15,7,8
5,600,5.16,7,4,6
5,632,7.05,16,10,11
5,636,9.73,23,10,14
5,652,10.8,37,20,29
5,655,2.64,3,1,2
5,666,10.95,32,16,28
5,671,0.54,1,1,1
5,688,11.54,13,7,8
5,719,3.8,8,6,7
5,726,5.28,10,5,7
5,727,2.3,2,1,2
5,755,5.33,8,5,6
5,773,6.26,12,8,10
5,790,10.43,26,15,18
5,792,6.26,7,5,6
5,816,10.32,25,13,14
5,827,10.51,30,14,17
5,828,4.38,10,6,9
5,834,11.84,23,18,25
5,853,6.7,11,9,9
5,864,10.87,13,9,17
5,868,7.05,6,5,6
5,913,11.39,13,8,13
5,939,4.59,13,9,10
5,960,4.84,8,5,8
5,987,9.77,25,14,16
5,989,11.71,12,8,11
6,20,3.17,7,5,7
6,42,4.85,7,4,4
6,71,2.93,5,3,4
6,104,0.94,3,1,1
6,132,10.92,28,13,25
6,148,10.75,31,15,23
6,168,8.43,14,9,9
6,205,2.57,5,4,5
6,225,7.54,26,14,21
6,234,5.35,12,6,7
6,374,5.57,15,7,10
6,386,9.02,24,13,21
6,394,6.71,11,6,8
6,425,8.09,27,13,23
6,427,5.0,10,6,6
6,435,7.97,24,15,16
6,436,5.18,9,4,5
6,470,9.69,15,7,10
6,524,5.88,11,5,7
6,564,11.75,17,14,17
6,610,9.79,20,12,17
6,650,10.64,27,20,20
6,661,10.43,14,8,13
6,668,0.46,1,1,1
6,729,9.59,13,8,12
6,730,4.09,8,6,8
6,731,11.25,12,10,11
6,745,8.58,10,6,8
6,760,9.34,19,9,10
6,791,8.84,15,12,14
6,830,5.95,11,6,8
6,902,4.54,4,3,3
6,914,6.93,18,10,12
6,920,1.36,2,1,2
6,964,2.83,5,2,3
6,970,10.27,11,7,8
7,15,6.61,5,5,6
7,17,9.88,13,9,13
7,41,4.7,6,5,6
7,44,10.61,20,14,17
7,45,11.19,27,15,24
7,51,10.44,25,16,28
7,69,7.31,7,4,4
7,70,7.75,8,4,4
7,113,6.52,9,6,7
7,150,7.16,6,4,7
7,176,5.35,16,9,13
7,180,4.82,13,7,8
7,197,7.43,14,11,14
7,206,4.7,7,4,4
7,245,6.73,11,7,8
7,254,4.32,9,6,6
7,255,6.46,11,6,9
7,256,10.21,16,12,18
7,267,4.38,12,6,11
7,328,10.02,28,19,20
7,345,4.08,11,8,9
7,354,10.03,18,10,10
7,361,10.46,22,16,17
7,363,10.02,27,13,22
7,376,4.43,6,5,6
7,402,10.15,17,11,14
7,407,11.53,37,20,21
7,409,9.49,19,9,13
7,426,10.88,15,14,13
7,437,5.55,5,4,5
7,464,5.62,17,9,12
7,503,6.48,11,5,9
7,506,3.49,8,4,7
7,509,8.71,12,5,9
7,512,2.99,7,4,4
7,542,8.09,18,14,16
7,556,6.52,7,5,6
7,576,8.71,10,8,11
7,608,6.65,9,6,7
7,625,5.16,8,5,5
7,647,10.86,20,10,13
