od,do,odleglosc,czas_rano,czas_poludnie,czas_wieczor
0,9,17.1,19,11,14
0,20,6.84,11,5,8
1,11,9.4,22,12,12
1,21,8.12,13,11,15
1,22,19.55,33,20,20
1,23,18.24,46,32,37
1,25,9.61,8,4,9
1,29,19.2,61,30,32
1,33,19.66,66,28,43
1,34,6.01,7,4,4
1,39,2.55,5,2,4
1,42,12.44,19,14,20
2,7,15.77,20,16,19
2,10,7.26,13,7,9
2,14,13.29,23,12,15
2,15,8.83,10,5,9
2,18,10.96,23,16,25
2,19,15.99,18,16,18
2,27,11.13,24,15,14
2,31,17.97,20,12,16
2,32,14.55,38,26,22
3,9,11.54,19,14,14
3,20,19.21,25,16,18
4,11,14.99,27,13,21
4,25,18.7,30,29,36
4,33,19.29,68,40,37
4,42,19.09,32,22,23
5,8,8.39,18,8,13
5,17,16.66,30,23,31
5,29,13.75,32,15,20
5,45,16.37,49,30,43
5,47,19.84,23,13,20
6,13,12.17,19,8,10
6,22,6.32,15,7,8
6,23,10.87,26,19,25
6,44,16.48,31,19,29
6,47,18.65,29,14,19
7,18,19.4,40,26,40
7,24,18.07,20,15,20
7,27,6.42,6,4,7
7,31,16.78,55,27,30
7,37,14.94,43,26,39
7,46,18.79,32,30,31
8,17,16.24,46,20,24
8,28,14.83,18,10,15
8,45,11.72,24,18,20
9,20,11.2,26,15,14
10,14,10.32,16,9,17
10,15,3.16,6,4,5
10,18,8.3,11,7,14
10,19,13.31,38,26,31
10,27,18.12,19,13,22
10,30,19.27,58,36,34
10,32,8.62,10,8,12
11,21,17.48,33,17,30
11,25,6.18,20,11,16
11,33,16.61,19,10,16
11,34,11.5,35,21,21
11,39,11.83,24,21,28
11,42,8.7,14,7,9
12,36,8.38,18,10,14
12,38,12.95,25,15,15
12,43,17.76,38,30,33
12,46,18.6,43,39,35
12,48,19.64,50,30,44
13,22,13.67,30,21,27
13,23,18.14,33,18,28
13,33,15.08,18,9,13
13,44,4.96,13,7,7
14,15,13.23,28,17,28
14,18,2.34,5,3,4
14,19,3.0,4,2,4
14,27,19.95,62,41,48
14,30,14.66,24,11,16
14,32,17.23,33,21,25
14,38,15.96,25,18,28
14,43,17.72,38,23,37
14,46,18.98,39,30,38
14,48,16.63,33,21,23
15,18,11.34,16,12,10
15,19,16.19,31,16,26
15,27,19.96,34,26,23
15,32,5.85,16,7,11
16,41,8.95,14,7,7
18,19,5.23,9,4,7
18,27,18.16,52,27,41
18,30,16.16,47,30,36
18,32,15.81,43,30,37
18,38,18.1,31,19,30
18,46,19.99,51,33,35
18,48,18.92,19,12,15
19,30,14.23,24,16,25
19,32,19.95,37,28,39
19,38,12.97,20,14,22
19,43,15.18,36,23,29
19,46,17.01,22,17,26
19,48,14.28,47,23,34
21,22,15.86,34,18,22
21,23,12.74,18,13,20
21,25,16.32,24,18,19
21,29,11.08,18,14,20
21,34,9.02,10,5,7
21,39,5.65,5,3,4
21,42,18.53,43,32,43
21,47,18.85,22,14,23
22,23,4.99,13,9,13
22,29,16.88,43,28,26
22,39,18.56,15,10,16
22,44,18.6,33,26,35
22,47,14.97,21,13,12
23,29,11.91,38,16,19
23,39,16.68,29,20,20
23,47,11.02,21,18,22
24,37,3.66,5,3,3
24,40,12.63,19,10,11
24,46,16.66,28,19,22
25,34,7.99,25,11,21
25,39,11.17,29,17,19
25,40,19.85,60,27,45
25,42,3.08,6,3,5
26,35,5.63,10,6,5
27,31,11.83,28,20,27
28,45,11.88,15,14,14
29,34,18.87,30,15,25
29,39,16.72,35,20,39
29,47,9.99,12,7,10
30,38,19.61,50,29,42
30,43,13.07,13,10,11
30,48,11.11,23,15,18
32,49,15.37,35,25,27
33,44,13.9,16,11,13
34,39,5.48,12,6,7
34,42,9.69,21,14,15
36,38,14.91,18,12,16
36,46,13.66,14,11,13
37,40,16.28,49,32,31
37,46,13.92,37,27,31
38,43,9.72,18,10,11
38,46,12.78,36,25,28
38,48,10.77,13,6,8
39,42,13.73,26,21,18
40,42,16.77,44,29,29
43,48,1.96,3,2,3
